530;125;94;70;54;40
531;126;95;71;54;40
532;127;95;71;54;40
533;129;97;73;55;41
534;130;98;73;56;41
535;131;98;74;56;41
536;132;99;74;57;42
537;134;101;75;57;42
538;135;101;76;58;43
539;136;102;77;58;43
540;137;103;77;59;43
541;139;104;78;60;44
542;140;105;79;60;44
543;141;106;79;60;45
544;143;107;80;61;45
545;144;108;81;62;46
546;145;109;82;62;46
547;147;110;83;63;47
548;148;111;83;63;47
549;149;112;84;64;47
550;151;113;85;65;48
551;152;114;86;65;48
552;154;116;87;66;49
553;155;116;87;66;49
554;156;117;88;67;49
555;158;119;89;68;50
556;159;119;89;68;50
557;161;121;91;69;51
558;162;122;91;69;51
559;164;123;92;70;52
560;165;124;93;71;52
561;167;125;94;72;53
562;169;127;95;72;53
563;170;128;96;73;54
564;172;129;97;74;54
565;173;130;97;74;55
566;175;131;98;75;55
567;177;133;100;76;56
568;178;134;100;76;56
569;180;135;101;77;57
570;182;137;102;78;58
571;183;137;103;78;58
572;185;139;104;79;59
573;187;140;105;80;59
574;188;141;106;81;59
575;190;143;107;81;60
576;192;144;108;82;61
577;194;146;109;83;61
578;196;147;110;84;62
579;197;148;111;84;62
580;199;149;112;85;63
581;201;151;113;86;64
582;203;152;114;87;64
583;205;154;115;88;65
584;207;155;116;89;65
585;209;157;118;90;66
586;211;158;119;90;67
587;213;160;120;91;67
588;215;161;121;92;68
589;217;163;122;93;69
590;219;164;123;94;69
591;221;166;124;95;70
592;223;167;125;96;71
593;225;169;127;96;71
594;227;170;128;97;72
595;229;172;129;98;72
596;231;173;130;99;73
597;234;176;132;100;74
598;236;177;133;101;75
599;238;179;134;102;75
600;240;180;135;103;76
601;242;182;136;104;77
602;245;184;138;105;78
603;247;185;139;106;78
604;249;187;140;107;79
605;252;189;142;108;80
606;254;191;143;109;80
607;256;192;144;110;81
608;259;194;146;111;82
609;261;196;147;112;83
610;264;198;149;113;84
611;266;200;150;114;84
612;269;202;151;115;85
613;271;203;152;116;86
614;274;206;154;117;87
615;276;207;155;118;87
616;279;209;157;120;88
617;281;211;158;120;89
618;284;213;160;122;90
619;287;215;161;123;91
620;289;217;163;124;91
621;292;219;164;125;92
622;295;221;166;126;93
623;298;224;168;128;94
624;300;225;169;129;95
625;303;227;170;130;96
626;306;230;172;131;97
627;309;232;174;132;98
628;312;234;176;134;99
629;315;236;177;135;100
630;318;239;179;136;101
631;321;241;181;138;102
632;324;243;182;139;103
633;327;245;184;140;103
634;330;248;186;141;104
635;333;250;187;143;105
636;336;252;189;144;106
637;339;254;191;145;107
638;342;257;192;147;108
639;345;259;194;148;109
640;349;262;196;150;110
641;352;264;198;151;111
642;355;266;200;152;112
643;358;269;201;153;113
